Marca temporal,Genero,Origen,Edad,¿Eres económicamente independiente? ,Clima,Cantidad_plantas,Parte_predominante_casa,Conocimiento_sobre_plantas,Plantas_recomendadas,Mascotas_infantes,Adquisicion_plantas,Atencion_plantas,Respuesta_planta_mustia,Prefiere_florecer,Preferencia_tonos,Tiempo_para_ti,Paciencia,Sentimientos_adquisicion,Duracion_plantas,Tipo_vivienda
2024/05/04 10:03:28 p. m. EEST,Hombre,España,31 – 48,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Tengo nociones básicas,Cinta;Costilla de Adán;Cactus de Navidad;Pothos;Crasula/ Suculenta de Jade;Aloe vera;Haworthia;Aeonium;Echeveria;Lavanda;Geranio;Petunia;Caléndula,No,"Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Cuando me acuerdo,Le echo agua,Me es indiferente,Fríos,Tengo bastante tiempo libre,Si,Indiferencia,Años,Chalet
2024/05/04 10:03:46 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",1,Exterior,Nada,Helecho de Boston;Filodendro;Cactus de jade;Crasula/ Suculenta de Jade,No,Fue un regalo,La verdad que no,Le echo agua,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,No,Indiferencia,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/04 10:05:22 p. m. EEST,Mujer,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Tengo nociones básicas,Orquídea phalaenopsis;Petunia;Fucsia;Begonia,"Sí, son tóxicas",Decoración,Les hago bastante caso,Le echo agua,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 10:08:06 p. m. EEST,Hombre,España,26 – 30,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Ambos por igual,Tengo nociones básicas,Cinta;Filodendro;Costilla de Adán;Peperomia;Palo de Brasil;Ficus lyrata;Orquídea phalaenopsis;Ficus benjamina;Aloe vera;Agave;Palmera de bambú;Nephthytis;Dracaena marginata;Croton;Salvia;Astilbe;Geranio;Petunia;Caléndula,"Sí, intentan comérselas",Decoración;Fue un regalo;La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,No,Alegría,Años,Adosado
2024/05/04 10:09:18 p. m. EEST,Mujer,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Me he informado bastante,Tradescantia;Fittonia;Cactus de Navidad;Violeta africana;Orquídea phalaenopsis;Ficus benjamina;Aloe vera;Sedum;Kalanchoe;Hiedra inglesa;Nephthytis;Lavanda;Salvia;Geranio;Petunia;Fucsia;Caléndula,"Sí, intentan comérselas",Decoración;La planté de cero,Les hago bastante caso,Le echo agua,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 10:10:13 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Me he informado bastante,Filodendro;Violeta africana;Pothos;Aloe vera,"Sí, son tóxicas",La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Me es indiferente,Tengo algo de tiempo libre,Si,Indiferencia,Años,Chalet
2024/05/04 10:12:40 p. m. EEST,Hombre,LATAM,26 – 30,Sí,Templado ,+10,Ambos por igual,Tengo nociones básicas,Peperomia;Palo de Brasil;Pothos;Planta de serpiente/ Espada de San Jorge;Ficus lyrata;Cactus de jade;Crasula/ Suculenta de Jade;Sedum;Philodendron;Lavanda,No,Decoración;Mejorar la calidad del aire;Fue un regalo,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 10:15:25 p. m. EEST,Hombre,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Ambos por igual,Nada,Filodendro;Palo de Brasil;Ficus benjamina,No,Fue un regalo,Todos los días compruebo su estado,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo mucho tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 10:16:02 p. m. EEST,Mujer,España,49 – 59,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Tengo nociones básicas,Espatifilo;Cactus de Navidad;Violeta africana;Sedum;Kalanchoe;Palmera de bambú;Lavanda;Petunia,"Sí, son tóxicas",La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 10:20:15 p. m. EEST,Mujer,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Ambos por igual,Tengo nociones básicas,Cinta;Filodendro;Costilla de Adán;Tradescantia;Palo de Brasil;Pothos;Planta de serpiente/ Espada de San Jorge;Cactus de jade;Ficus benjamina;Cactus de bola;Haworthia;Echeveria;Agave;Dracaena marginata;Lavanda;Petunia,"Sí, son tóxicas",Decoración;Fue un regalo,Cuando me acuerdo,Le echo agua,"No, prefiero que no tengan flores",Me es indiferente,No tengo tiempo libre,No,Angustia,Meses,Apartamento
